id,external_id,provider,name,image_url
7182,00d214b9d2cf7e86935dbe37c1d4e8f8ef50bd78,spinomenal,Gangster's Gold - On The Run,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/00d214b9d2cf7e86935dbe37c1d4e8f8ef50bd78/public
7183,3a88ca5cf830f5296940f8ab0158e5f4423c22ea,spinomenal,Summer Ways,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/3a88ca5cf830f5296940f8ab0158e5f4423c22ea/public
7184,5d096105600be7a40e46cc6b910babf68fa87d61,spinomenal,Pick a Fruit,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/5d096105600be7a40e46cc6b910babf68fa87d61/public
7185,27fff48cbb95cc11a95904bb20d5706cc4711639,spinomenal,Egyptian Sands,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/27fff48cbb95cc11a95904bb20d5706cc4711639/public
7186,275472182c2e96016126f6900fae9604a886d91f,spinomenal,Hut With Chicken Legs,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/275472182c2e96016126f6900fae9604a886d91f/public
4260,85a135d934dfeeaefc01704368609461443c9286,threeoaks,Eggs of Gold,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/85a135d934dfeeaefc01704368609461443c9286/public
4266,5177745aec8feb1ad1c339c39204d4105fdc07d9,gameart,7s and Diamonds,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/5177745aec8feb1ad1c339c39204d4105fdc07d9/public
7200,4d59dacc5a70f54164d44fff6d9f94e945afaab7,pragmaticplay,Magic Money Maze,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/4d59dacc5a70f54164d44fff6d9f94e945afaab7/public
7202,3ae8639c456570b081d0521636b351537ebda961,pragmaticplay,Gorilla Mayhem,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/3ae8639c456570b081d0521636b351537ebda961/public
4290,753e0fbb3be7c9130894b2993b4b565d38b5f7b8,gameart,Xtreme Summer Hot,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/753e0fbb3be7c9130894b2993b4b565d38b5f7b8/public
4291,b674240117e969fb9c2cf43644eb602140e8d34f,bgaming,Miss Cherry Fruits Jackpot Party,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/b674240117e969fb9c2cf43644eb602140e8d34f/public
7205,b5789f75c01ec49db4b61352ffe7a4b021af47a1,boominggames,Burning Classics go Wild,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/b5789f75c01ec49db4b61352ffe7a4b021af47a1/public
7220,e24538cc5ad5a282bd10ee9ff1d67962608b282a,pragmaticplay,Greedy Wolf,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/e24538cc5ad5a282bd10ee9ff1d67962608b282a/public
4306,abf4cf0a9cba7e0115967735a98da1a11a313277,threeoaks,Lotus Charm,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/abf4cf0a9cba7e0115967735a98da1a11a313277/public
7222,205cc6d6e06a24d6f314cf5f70cdc8f49dde54e0,spinomenal,Lucky Jack - Book Of Rebirth,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/205cc6d6e06a24d6f314cf5f70cdc8f49dde54e0/public
7223,5c73d353c015054621eeb6e0c8e1dc7c20669f64,spinomenal,Baba Yaga Tales,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/5c73d353c015054621eeb6e0c8e1dc7c20669f64/public
7236,4667b0f4bacfe71baea4285e6ca8854ccf4cb218,pragmaticplay,Black Bull,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/4667b0f4bacfe71baea4285e6ca8854ccf4cb218/public
4322,d65e52174363f366766d4222043203432a9297a9,wazdan,9 Burning Stars,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/d65e52174363f366766d4222043203432a9297a9/public
